"","kanton","fr","total","total_canton","first_straftat","first_value","second_straftat","second_value","third_straftat","third_value","fourth_straftat","fourth_value","fifth_straftat","fifth_value","de"
"1","Zürich","Zurich",6028,31940,"Vol ",6028,"Voies de fait ",2409,"Dommages à la propriété ",2378,"Violation de domicile ",1981,"Escroquerie ",1620,"Zürich"
"2","Bern / Berne","Berne",3636,14125,"Vol ",3636,"Violation de domicile ",1167,"Dommages à la propriété ",1059,"Injure ",984,"Voies de fait ",952,"Bern"
"3","Luzern","Lucerne",1149,5413,"Vol ",1149,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",1019,"Violation de domicile ",416,"Dommages à la propriété ",369,"Voies de fait ",300,"Luzern"
"4","Uri","Uri",31,233,"Vol ",31,"Injure ",23,"Menaces ",22,"Escroquerie ",21,"Voies de fait ",20,"Uri"
"5","Schwyz","Schwyz",254,1896,"Vol ",254,"Escroquerie ",208,"Dommages à la propriété ",127,"Violation de domicile ",97,"Faux dans les titres ",91,"Schwyz"
"6","Obwalden","Obwald",107,645,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",107,"Vol ",89,"Dommages à la propriété ",55,"Menaces ",30,"Violation de domicile ",30,"Obwalden"
"7","Nidwalden","Nidwald",74,406,"Vol ",74,"Escroquerie ",40,"Dommages à la propriété ",38,"Violation de domicile ",38,"Injure ",29,"Nidwalden"
"8","Glarus","Glaris",77,565,"Vol ",77,"Escroquerie ",58,"Dommages à la propriété ",43,"Menaces ",36,"Voies de fait ",32,"Glarus"
"9","Zug","Zoug",289,1652,"Vol ",289,"Voies de fait ",178,"Escroquerie ",122,"Dommages à la propriété ",107,"Violation de domicile ",97,"Zug"
"10","Fribourg / Freiburg","Fribourg",762,5424,"Vol ",762,"Dommages à la propriété ",506,"Injure ",470,"Voies de fait ",355,"Menaces ",354,"Freiburg"
"11","Solothurn","Soleure",1103,6034,"Vol ",1103,"Voies de fait ",601,"Dommages à la propriété ",475,"Insoumission à une décision de l'autorité ",456,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",416,"Solothurn"
"12","Basel-Stadt","Bâle-Ville",2053,7725,"Vol ",2053,"Voies de fait ",641,"Injure ",558,"Dommages à la propriété ",544,"Violation de domicile ",484,"Basel-Stadt"
"13","Basel-Landschaft","Bâle-Campagne",846,3328,"Vol ",846,"Violation de domicile ",365,"Dommages à la propriété ",354,"Voies de fait ",200,"Escroquerie ",185,"Basel-Landschaft"
"14","Schaffhausen","Schaffhouse",280,2046,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",280,"Vol ",225,"Voies de fait ",197,"Injure ",132,"Menaces ",121,"Schaffhausen"
"15","Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures",146,1009,"Insoumission à une décision de l'autorité ",146,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",127,"Vol ",108,"Dommages à la propriété ",74,"Escroquerie ",72,"Appenzell Ausserrhoden"
"16","Appenzell Innerrhoden","Appenzell Rhodes-Intérieures",28,215,"Vol ",28,"Dommages à la propriété ",24,"Violation de domicile ",24,"Injure ",21,"Voies de fait ",15,"Appenzell Innerrhoden"
"17","St. Gallen","St-Gall",1785,8992,"Vol ",1785,"Dommages à la propriété ",769,"Violation de domicile ",657,"Escroquerie ",654,"Voies de fait ",613,"St. Gallen"
"18","Graubünden / Grigioni / Grischun","Grisons",543,3159,"Vol ",543,"Violation de domicile ",391,"Dommages à la propriété ",245,"Injure ",167,"Voies de fait ",152,"Graubünden"
"19","Aargau","Aarau",2741,12167,"Inobservation par le débiteur des règles de la procédure de poursuite pour dettes ou de faillite ",2741,"Vol ",1861,"Voies de fait ",893,"Dommages à la propriété ",744,"Injure ",648,"Aargau"
"20","Thurgau","Thurgovie",781,4527,"Vol ",781,"Dommages à la propriété ",380,"Insoumission à une décision de l'autorité ",362,"Voies de fait ",356,"Violation de domicile ",270,"Thurgau"
"21","Ticino","Tessin",853,5531,"Vol ",853,"Lésions corporelles simples ",566,"Dommages à la propriété ",452,"Menaces ",419,"Violation de domicile ",285,"Tessin"
"22","Vaud","Vaud",2544,16347,"Vol ",2544,"Injure ",2035,"Voies de fait ",2002,"Menaces ",1434,"Dommages à la propriété ",1366,"Waadt"
"23","Valais / Wallis","Valais",650,5194,"Vol ",650,"Injure ",518,"Menaces ",440,"Dommages à la propriété ",422,"Voies de fait ",378,"Wallis"
"24","Neuchâtel","Neuchâtel",1093,4679,"Vol ",1093,"Injure ",470,"Voies de fait ",392,"Dommages à la propriété ",387,"Violation de domicile ",316,"Neuenburg"
"25","Genève","Genève",1951,13103,"Vol ",1951,"Injure ",1073,"Dommages à la propriété ",984,"Lésions corporelles simples ",887,"Menaces ",787,"Genf"
"26","Jura","Jura",206,1147,"Vol ",206,"Injure ",159,"Menaces ",108,"Dommages à la propriété ",90,"Voies de fait ",83,"Jura"
