"","kanton","de","fr","total","first_straftat","first_value","second_straftat","second_value","third_straftat","third_value","fourth_straftat","fourth_value","fifth_straftat","fifth_value"
"1","Zürich","Zürich","Zurich",6028,"Ladendiebstahl",6028,"Tätlichkeiten",2409,"Sachbeschädigung",2378,"Hausfriedensbruch + Diebstahl",1981,"Betrug",1620
"2","Bern / Berne","Bern","Berne",3636,"Ladendiebstahl",3636,"Hausfriedensbruch + Diebstahl",1167,"Sachbeschädigung",1059,"Beschimpfung",984,"Tätlichkeiten",952
"3","Luzern","Luzern","Lucerne",1149,"Ladendiebstahl",1149,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",1019,"Hausfriedensbruch + Diebstahl",416,"Sachbeschädigung",369,"Tätlichkeiten",300
"4","Uri","Uri","Uri",31,"Ladendiebstahl",31,"Beschimpfung",23,"Drohung",22,"Betrug",21,"Tätlichkeiten",20
"5","Schwyz","Schwyz","Schwyz",254,"Ladendiebstahl",254,"Betrug",208,"Sachbeschädigung",127,"Hausfriedensbruch + Diebstahl",97,"Urkundenfälschung",91
"6","Obwalden","Obwalden","Obwald",107,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",107,"Diebstahl",89,"Sachbeschädigung",55,"Drohung",30,"Hausfriedensbruch + Diebstahl",30
"7","Nidwalden","Nidwalden","Nidwald",74,"Ladendiebstahl",74,"Betrug",40,"Sachbeschädigung",38,"Hausfriedensbruch + Diebstahl",38,"Beschimpfung",29
"8","Glarus","Glarus","Glaris",77,"Ladendiebstahl",77,"Betrug",58,"Sachbeschädigung",43,"Drohung",36,"Tätlichkeiten",32
"9","Zug","Zug","Zoug",289,"Ladendiebstahl",289,"Tätlichkeiten",178,"Betrug",122,"Sachbeschädigung",107,"Hausfriedensbruch + Diebstahl",97
"10","Fribourg / Freiburg","Freiburg","Fribourg",762,"Ladendiebstahl",762,"Sachbeschädigung",506,"Beschimpfung",470,"Tätlichkeiten",355,"Drohung",354
"11","Solothurn","Solothurn","Soleure",1103,"Ladendiebstahl",1103,"Tätlichkeiten",601,"Sachbeschädigung",475,"Ungehorsam gegen amtliche Verfügungen",456,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",416
"12","Basel-Stadt","Basel-Stadt","Bâle-Ville",2053,"Ladendiebstahl",2053,"Tätlichkeiten",641,"Beschimpfung",558,"Sachbeschädigung",544,"Hausfriedensbruch + Diebstahl",484
"13","Basel-Landschaft","Basel-Landschaft","Bâle-Campagne",846,"Ladendiebstahl",846,"Hausfriedensbruch + Diebstahl",365,"Sachbeschädigung + Diebstahl",354,"Tätlichkeiten",200,"Betrug",185
"14","Schaffhausen","Schaffhausen","Schaffhouse",280,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",280,"Ladendiebstahl",225,"Tätlichkeiten",197,"Beschimpfung",132,"Drohung",121
"15","Appenzell Ausserrhoden","Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures",146,"Ungehorsam gegen amtliche Verfügungen",146,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",127,"Ladendiebstahl",108,"Sachbeschädigung",74,"Betrug",72
"16","Appenzell Innerrhoden","Appenzell Innerrhoden","Appenzell Rhodes-Intérieures",28,"Diebstahl",28,"Sachbeschädigung",24,"Hausfriedensbruch",24,"Beschimpfung",21,"Tätlichkeiten",15
"17","St. Gallen","St. Gallen","St-Gall",1785,"Ladendiebstahl",1785,"Sachbeschädigung",769,"Hausfriedensbruch + Diebstahl",657,"Betrug",654,"Tätlichkeiten",613
"18","Graubünden / Grigioni / Grischun","Graubünden","Grisons",543,"Ladendiebstahl",543,"Hausfriedensbruch + Diebstahl",391,"Sachbeschädigung",245,"Beschimpfung",167,"Tätlichkeiten",152
"19","Aargau","Aargau","Aarau",2741,"Ungehorsam des Schuldners im Betreibungs- und Konkursverfahren",2741,"Ladendiebstahl",1861,"Tätlichkeiten",893,"Sachbeschädigung",744,"Beschimpfung",648
"20","Thurgau","Thurgau","Thurgovie",781,"Ladendiebstahl",781,"Sachbeschädigung",380,"Ungehorsam gegen amtliche Verfügungen",362,"Tätlichkeiten",356,"Hausfriedensbruch + Diebstahl",270
"21","Ticino","Tessin","Tessin",853,"Diebstahl",853,"Einfache Körperverletzung",566,"Sachbeschädigung",452,"Drohung",419,"Hausfriedensbruch + Diebstahl",285
"22","Vaud","Waadt","Vaud",2544,"Diebstahl",2544,"Beschimpfung",2035,"Tätlichkeiten",2002,"Drohung",1434,"Sachbeschädigung",1366
"23","Valais / Wallis","Wallis","Valais",650,"Diebstahl",650,"Beschimpfung",518,"Drohung",440,"Sachbeschädigung",422,"Tätlichkeiten",378
"24","Neuchâtel","Neuenburg","Neuchâtel",1093,"Ladendiebstahl",1093,"Beschimpfung",470,"Tätlichkeiten",392,"Sachbeschädigung",387,"Hausfriedensbruch + Diebstahl",316
"25","Genève","Genf","Genève",1951,"Diebstahl",1951,"Beschimpfung",1073,"Sachbeschädigung",984,"Einfache Körperverletzung",887,"Drohung",787
"26","Jura","Jura","Jura",206,"Ladendiebstahl",206,"Beschimpfung",159,"Drohung",108,"Sachbeschädigung",90,"Tätlichkeiten",83
